bottle_id,tarra,year
1,15.40,2039
0,10.60,2039
2,15.40,2055
3,,
4,,2035
5,10.50,2035
6,10.80,2035
7,,
8,,
9,10.90,2033
10,,2035
11,,
13,,2039
14,,
12,15.60,
15,,
16,15.10,
17,,
20,10.10,
18,10.60,2031
22,,
19,10.40,2039
21,,
23,,
24,10.40,2033
25,15.80,2059
26,,
27,,
28,10.70,2034
29,,
30,,
31,15.40,2031
32,15.10,
34,,
33,,
35,13.10,2033
36,10.80,
37,10.20,2039
38,,
39,10.90,
40,,
41,10.50,
42,,
43,,
44,10.80,2032
45,11.90,
46,10.80,2034
47,15.60,2032
48,,
49,10.50,2037
50,10.50,2037
51,,
52,10.60,2037
53,,2039
54,,2015
55,13.10,2027
56,,
57,,
58,,
61,,
59,16.50,
62,,
60,,
64,10.60,2037
63,17.90,
66,10.80,2039
67,,2039
65,,
68,10.70,2039
69,,
70,,
71,,2033
72,,2034
73,10.50,2033
74,10.60,2037
75,,
76,10.80,
77,,
78,10.80,2036
79,10.80,2036
80,,2036
81,15.20,
82,10.70,2037
83,10.70,2037
84,10.80,2033
85,15.10,
86,10.60,2039
87,10.60,2039
88,,
90,10.80,2035
89,,
92,10.80,2034
91,10.60,2035
93,10.80,2034
94,15.20,2037
95,16.20,2039
96,10.70,2035
97,10.70,2035
99,10.90,2025
98,10.80,2035
101,10.50,
102,15.80,
103,,
100,,
104,10.80,2035
105,10.80,2035
106,10.60,2039
107,,2039
108,,2035
109,,
110,,
111,,
115,16.50,
112,10.60,2039
117,10.60,2036
113,10.70,2034
118,10.60,2036
114,10.70,2034
116,10.60,2036
119,,
120,13.60,
121,,2039
122,12.10,2039
123,,
124,12.10,2012
125,15.10,2031
126,,
127,10.70,2036
128,10.60,2030
129,10.70,2036
130,10.70,2036
131,10.50,2039
132,10.50,2039
133,,2039
134,,
135,10.10,2033
137,11.90,
136,10.70,2036
139,16.10,
138,,
140,14.00,2031
141,10.80,2039
142,10.60,2038
143,10.60,2038
144,,
145,,
146,,
147,14.70,2038
148,14.70,2037
149,,
150,,
151,15.10,2035
152,,
153,,
154,,
