bottle_id,camera_name,frame_number,ocr_text,confidence,timestamp,processing_time
1,Front,1,PISY ! TARE IAGAZ,0.8232312917758208,1764445995.7690437,1764445995.769046
1,Back Left,1,PS' TARE,0.7656844014046643,1764445995.9881563,1764445995.9881577
0,Back Right,1,TARE 10.66KC,0.7862191594019345,1764445996.0814288,1764445996.0814307
1,Top,3,dodd 3,0.8706291767925904,1764445997.4756722,1764445997.4756768
1,Front,3,2039 [ TARE,0.9502276320973593,1764445997.7293544,1764445997.729355
1,Back Left,3,PISY TARE 2039,0.9337109525998434,1764445997.902363,1764445997.9023643
0,Back Right,3,8 UN1965 3 2039 PISY,0.8612325021507811,1764445998.0900455,1764445998.0900466
1,Top,5,s1 3 UN1965,0.711405471291918,1764445999.486665,1764445999.4866683
1,Front,5,28 PRIMAGAZ TARE,0.9085232321967956,1764445999.605899,1764445999.6059
1,Back Left,5,3 8 615 UN19651 P1SY TARE,0.8036024884953576,1764445999.8199081,1764445999.8199089
0,Back Right,5,"4 UN1965 1219 615 2039 "" W",0.680414347791783,1764445999.9975338,1764445999.9975355
1,Front,7,9 TARE ' PRIN,0.5904919608026059,1764446001.321284,1764446001.3212855
1,Back Left,7,2215 4 119 P1SY MAGAZ,0.8061024548858148,1764446001.4939,1764446001.4939024
0,Back Right,7,2039,0.927483940065467,1764446001.679203,1764446001.6792045
1,Back Left,9,0,0.562034018026484,1764446003.1342483,1764446003.1342492
0,Back Right,9,TARE !,0.7064868231331274,1764446003.2496545,1764446003.2496557
1,Front,10,4,0.9744333763950443,1764446003.9855366,1764446003.985538
2,Back Left,11,PR_,0.8973840874260868,1764446004.6454444,1764446004.6454463
2,Top,12,8 5 0 1,0.6542398684327733,1764446005.6580193,1764446005.6580198
2,Back Left,13,U1 PRIMAGA,0.8136748870647196,1764446006.4069889,1764446006.4069898
0,Back Right,13,Gaz,0.5417743070435663,1764446006.490451,1764446006.490452
2,Front,15,8,0.7331565907787905,1764446007.6048074,1764446007.6048093
2,Back Left,15,03 1985 PRIMAGAZ,0.8432113321085842,1764446007.728237,1764446007.7282376
0,Back Right,15,Camera:,0.9184470398774506,1764446007.8535423,1764446007.8535433
2,Back Right,16,8,0.9866383001302701,1764446008.5982857,1764446008.5982866
2,Top,17,UN 1963,0.8015384927189451,1764446009.2531352,1764446009.2531364
2,Back Left,17,JMI '3 8 UMAGAZ,0.6469777263522075,1764446009.547673,1764446009.547675
2,Top,19,UN 1963,0.6352963066323841,1764446011.0704792,1764446011.0704808
2,Back Left,19,15,0.7023953896144662,1764446011.3243036,1764446011.3243053
0,Back Right,19,dack,0.9812089204788208,1764446011.3569958,1764446011.3569975
2,Front,20,Az,0.6466449214039282,1764446012.1038759,1764446012.1038773
2,Back Right,20,"15,4K6",0.6522906905636834,1764446012.2008157,1764446012.2008169
2,Back Left,21,TO: Back 15,0.8664771653030822,1764446012.975122,1764446012.9751234
2,Top,22,(,0.7661595681275344,1764446013.6201704,1764446013.6201715
2,Front,22,"UN 1965,",0.5275738688178084,1764446013.7274857,1764446013.7274876
2,Back Left,23,2055,0.5408880114555359,1764446014.4694455,1764446014.4694476
2,Back Right,23,0,0.8543978421303109,1764446014.5786002,1764446014.5786014
2,Front,24,4,0.6580875431182029,1764446015.267988,1764446015.2679904
2,Back Right,25,Back Riaht <,0.7772099035183658,1764446016.0473409,1764446016.047342
2,Front,26,PRIMA,0.6954228047290302,1764446016.9441555,1764446016.9441566
3,Back Left,27,PR,0.9151951351701468,1764446017.8625817,1764446017.862583
2,Back Right,27,Camera: Back Richt PRIMI,0.5507230106197973,1764446017.9805794,1764446017.98058
2,Back Right,29,Camera: Bacl_Reht,0.5122677052190029,1764446019.1861038,1764446019.1861045
3,Back Left,30,PRIMAGAZ,0.9688376194609299,1764446019.940049,1764446019.9400506
3,Back Left,32,0 EN4425 PRIMAGAZ,0.7273712045793461,1764446021.5394707,1764446021.539473
3,Back Right,32,6,0.6801026838295267,1764446021.8783376,1764446021.87834
3,Back Left,34,3MI Cz 201 TaRRA MAGAZ,0.8180173975317722,1764446023.6607802,1764446023.6607826
2,Back Right,34,PRIMAGA,0.8463156928404558,1764446023.7075095,1764446023.7075105
3,Back Right,34,24,0.6024295907976316,1764446023.8857164,1764446023.8857186
3,Front,36,GAZ,0.6932058334350586,1764446025.3096237,1764446025.3096256
3,Back Left,36,MI AGAZ,0.9356452844633035,1764446025.5601542,1764446025.5601559
2,Back Right,36,PRIMAGL,0.5792144897970448,1764446025.594349,1764446025.5943506
3,Top,37,1,0.5044642351772524,1764446026.2669802,1764446026.2669823
3,Front,38,MAGAZ,0.901557029248173,1764446026.993564,1764446026.993567
3,Top,39,1,0.8524982406571588,1764446027.7208605,1764446027.720862
3,Back Left,39,0,0.6197691979123334,1764446027.8000534,1764446027.8000555
4,Back Left,40,{,0.6779448963301071,1764446028.5820568,1764446028.5820582
3,Back Right,40,Back Riaht 4,0.5551110089347153,1764446028.680407,1764446028.6804087
4,Top,41,2 5 },0.6802010769119716,1764446029.3445766,1764446029.3445811
3,Front,41,{,0.830033971819887,1764446029.4143114,1764446029.4143126
4,Back Left,42,"16,",0.9972518906378943,1764446030.1455412,1764446030.1455421
3,Back Right,42,PRIM,0.9991284608840942,1764446030.234977,1764446030.2349792
4,Top,43,3,0.5977939600596791,1764446030.848808,1764446030.8488088
4,Front,44,PRIMAGAZ,0.6643833832131968,1764446031.4352283,1764446031.4352305
4,Back Left,44,"'16, 2035",0.835058182477951,1764446031.5580719,1764446031.5580726
3,Back Right,44,PRIMA,0.8506793900085614,1764446031.612544,1764446031.612545
4,Back Right,45,UN 1865,0.5110489464298085,1764446032.2200096,1764446032.2200105
4,Front,46,PRImAG,0.5611619077637596,1764446032.8557816,1764446032.8557825
4,Back Left,46,"UN 1955 16,' 2035",0.7169966514490319,1764446032.980375,1764446032.980376
3,Back Right,47,Camera: Back Right PRIMAO,0.7143421710521327,1764446033.647025,1764446033.6470258
4,Top,48,2,0.9208338217226277,1764446034.3499303,1764446034.3499317
4,Back Left,48,235,0.7711258803720751,1764446034.5357332,1764446034.5357344
3,Back Right,49,PRIMAGA,0.8654997446013564,1764446035.34957,1764446035.3495715
4,Back Right,49,PRIMAC,0.7792905798473625,1764446035.4203193,1764446035.4203203
4,Top,50,N,0.6039496699438054,1764446036.0446436,1764446036.0446465
4,Front,50,16,0.9992875397381527,1764446036.1405556,1764446036.1405568
4,Back Left,50,1,0.5385187670555958,1764446036.2472875,1764446036.2472897
4,Back Right,51,PRIMACAZ,0.5995970455910327,1764446036.9708114,1764446036.970813
4,Top,52,N,0.9687875042016039,1764446037.5788195,1764446037.5788214
5,Top,53,8 } 035,0.8525280407024205,1764446038.4712033,1764446038.4712045
4,Back Left,53,8,0.9989182299936807,1764446038.5737908,1764446038.5737932
5,Back Left,53,Un196,0.5586671434962578,1764446038.6447709,1764446038.6447718
4,Back Right,53,Back Riani PRIMACEZ,0.6966762935938208,1764446038.7338872,1764446038.733889
5,Back Left,55,10.5 3 Un196' KG-,0.7755654084745296,1764446040.1307924,1764446040.1307938
4,Back Right,55,camera: PRIMACAZ,0.7094439042415914,1764446040.2179563,1764446040.2179577
5,Front,57,GAZ,0.8959518501789351,1764446041.6130073,1764446041.6130085
5,Back Left,57,2035 10.5 KG-',0.8394778162480745,1764446041.7478514,1764446041.7478528
4,Back Right,57,Camora: Back Right,0.5180896382202863,1764446041.803163,1764446041.8031645
5,Back Right,58,6 UN1965 6 2035 P1SY-n,0.8596970758103388,1764446042.5014637,1764446042.5014646
6,Top,59,KG-2035,0.7957176389128608,1764446043.1732078,1764446043.1732094
5,Front,59,~ 10.5 Ko-2035 NIMAGP,0.6558853182694758,1764446043.277502,1764446043.2775035
5,Back Left,59,3 PRIMAGA UN1985  KG-2035,0.6972756113404389,1764446043.416555,1764446043.416556
4,Back Right,59,PRIMACLZ,0.5029603665383966,1764446043.4758208,1764446043.475822
5,Back Right,60,2035 MAGAZ,0.9012385865923024,1764446044.4239333,1764446044.4239337
6,Top,61,1965,0.9453990459442139,1764446045.063904,1764446045.0639048
5,Front,61,5 10.5 'IMAGAZ P1SY KG-235,0.8342454981483762,1764446045.1540785,1764446045.154079
5,Back Left,61,03 2 P1SYY UN1965 2035 GAZ,0.739867645645115,1764446045.3141649,1764446045.314166
4,Back Right,61,PRIMACAZ,0.7933835549232371,1764446045.3518708,1764446045.3518715
5,Back Right,62,UN1965 . 3,0.8406055361350919,1764446046.001928,1764446046.0019293
5,Front,63,N1965,0.7339107765185283,1764446046.6534617,1764446046.653463
5,Back Left,63,Camora: Back Leit UN1965 GAZ,0.6704682997686516,1764446046.7566595,1764446046.756661
4,Back Right,63,RIMACAZ,0.6061718008695341,1764446046.8013358,1764446046.8013365
