bottle_id,tarra,year
1,10.5,2034
2,10.7,2034
3,10.7,2034
4,10.8,2034
5,10.8,2034
6,,2030
11,10.6,2039
15,10.8,2036
16,40.8,2036
19,10.7,2036
20,10.7,2036
23,,
24,10.6,2033
25,10.6,2033
26,10.8,2037
27,15.6,
29,10.7,2037
34,16.7,
35,10.6,2036
36,10.6,2036
41,10.7,
42,,
48,,
50,,2039
59,10.7,2036
60,10.5,2037
61,,
62,,2037
66,10.5,
67,10.5,2033
72,10.5,2037
73,10.5,
74,10.6,2036
77,,2050
78,10.7,2032
79,40.7,2032
81,10.5,2037
83,10.7,
84,10.6,
88,10.7,2032
89,10.7,2036
90,10.7,2037
97,10.7,
98,10.8,2037
100,10.7,2037
102,16.2,
106,,2033
107,10.8,2037
109,10.6,2035
110,10.8,2037
115,,
118,10.6,2035
120,70.7,2033
123,10.6,3035
