bottle_id,camera_name,frame_number,ocr_text,confidence,timestamp,processing_time
-1,Front,0,RIMAGAZ,0.9699509629674175,1763325618.3970892,1763325618.397091
-1,Back Right,0,RMAGAZ,0.7977366713619071,1763325618.4501548,1763325618.450156
-1,Back Left,0,uoue: 19 batch,0.5739525887607975,1763325618.7366676,1763325618.7366686
-1,Back Left,0,h,0.9990820608017117,1763325621.8350618,1763325621.835063
-1,Front,0,(0,0.5011168221776205,1763325622.5421376,1763325622.5421383
2,Top,0,0,0.9944992817099809,1763325623.759831,1763325623.7598321
2,Back Right,0,Ok),0.6896995105345579,1763325624.5332828,1763325624.5332842
-1,Back Left,0,quc,0.9012060824066962,1763325627.0692773,1763325627.0692785
3,Front,0,(O,0.9047273711304569,1763325628.2368064,1763325628.2368073
3,Back Right,0,Uk,0.6015272047109996,1763325630.2199035,1763325630.2199044
-1,Back Left,0,h,0.9999115486631496,1763325633.7153897,1763325633.715391
-1,Front,0,(0,0.6225960173216685,1763325634.633754,1763325634.6337552
4,Back Right,0,(Ok),0.5113844275474548,1763325636.855887,1763325636.855888
-1,Back Left,0,ch,0.9978646660781386,1763325641.5045369,1763325641.504538
-1,Back Left,0,Jeue: 6 batch qu,0.6890611176802379,1763467789.0703301,1763467789.0703301
-1,Front,0,RIMAGAZ,0.9237422977112315,1763467789.1003323,1763467789.1003323
0,Back Right,0,5,0.9951818944475832,1763467789.2888904,1763467789.2888904
-1,Back Left,0,h,0.9999070189156214,1763467791.5588245,1763467791.5588245
2,Front,0,(C,0.9649094012114633,1763467792.1612847,1763467792.1612847
2,Back Right,0,UNTT,0.5047105550765991,1763467792.3093026,1763467792.3093026
-1,Back Left,0,ch,0.934119337618132,1763467795.580999,1763467795.580999
3,Front,0,(0,0.5089050747739641,1763467796.3611994,1763467796.3611994
3,Back Right,0,8,0.590122693079195,1763467796.9774375,1763467796.9774375
-1,Back Left,0,quc,0.736969151783348,1763467799.974786,1763467799.974786
-1,Front,0,3 (C 13,0.9568952990031006,1763467800.5081134,1763467800.5081134
4,Back Right,0,K),0.7792322129415888,1763467801.4213674,1763467801.4213674
-1,Back Left,0,ch,0.9975561054977975,1763467804.8999445,1763467804.8999445
-1,Front,0,ttle,0.9858750104904175,1763467805.4330502,1763467805.4330502
5,Back Right,0,JK),0.6799084324877938,1763467806.2076132,1763467806.2076132
-1,Back Left,0,ch,0.6541616843981849,1763467809.3353324,1763467809.3353324
-1,Front,0,e 5 23,0.7659542001200534,1763467809.8801348,1763467809.8801348
7,Top,0,8,0.672788607080804,1763467810.2282262,1763467810.2282262
6,Back Right,0,K),0.9367321058560101,1763467810.7290552,1763467810.7290552
7,Back Left,0,ch,0.9567061421357245,1763467813.2421653,1763467813.2421653
-1,Front,0,6 (O 28,0.767951910728764,1763467813.612049,1763467813.612049
7,Back Right,0,K),0.9595431857133334,1763467814.4945362,1763467814.4945362
7,Top,0,Ucuc,0.6068267822265625,1763467816.509038,1763467816.509038
-1,Back Left,0,qu,0.9959111738134312,1763467816.9544587,1763467816.9544587
-1,Front,0,(OK,0.7959301379953851,1763467817.5751607,1763467817.5751607
8,Back Right,0,K),0.9769182721458923,1763467818.2572093,1763467818.2572093
9,Back Left,0,ch,0.9998320910846598,1763467821.0394807,1763467821.0394807
-1,Front,0,8 36,0.9945764934351962,1763467821.5694215,1763467821.5694215
9,Back Right,0,Ok),0.8434825063117142,1763467822.5035245,1763467822.5035245
-1,Back Left,0,ch,0.9741053253325371,1763467825.302344,1763467825.302344
10,Front,0,(C 40,0.988870650980319,1763467825.8051262,1763467825.8051262
10,Back Right,0,Ok),0.7836623732135504,1763467826.6736174,1763467826.6736174
10,Top,0,Du,0.6402953385568919,1763467828.9688148,1763467828.9688148
-1,Back Left,0,ch qu,0.9995759456188296,1763467829.9929285,1763467829.9929285
-1,Front,0,10 46,0.999907152711295,1763467830.268569,1763467830.268569
11,Top,0,5,0.9595498556736324,1763467830.7435923,1763467830.7435923
11,Back Right,0,OK),0.5844140046844625,1763467831.1615872,1763467831.1615872
-1,Back Left,0,ch,0.8875445163359271,1763467833.2741923,1763467833.2741923
-1,Front,0,(C,0.9828310552916416,1763467834.009466,1763467834.009466
12,Back Right,0,Ok),0.5433133127773395,1763467834.7458503,1763467834.7458503
-1,Back Left,0,h que,0.9986061492855318,1763467837.6157296,1763467837.6157296
-1,Front,0,12 56,0.999965777060934,1763467838.1612506,1763467838.1612506
13,Back Right,0,Ok),0.6859780378107427,1763467838.9888422,1763467838.9888422
-1,Back Left,0,ch,0.7478602105731911,1763467841.9727373,1763467841.9727373
-1,Front,0,13 61,0.9999926664583423,1763467842.538409,1763467842.538409
14,Back Right,0,k),0.5077413208280347,1763467843.2822084,1763467843.2822084
15,Back Left,0,ch,0.9700451706278199,1763467846.1354618,1763467846.1354618
15,Front,0,66,0.9999482440623205,1763467846.7897542,1763467846.7897542
15,Back Right,0,Ok),0.7199982515493681,1763467847.4710865,1763467847.4710865
-1,Back Left,0,ch,0.9999522058083213,1763467850.0654411,1763467850.0654411
-1,Front,0,5,0.9998600531906874,1763467850.6372766,1763467850.6372766
16,Back Right,0,7036,0.5372946858406067,1763467851.0092359,1763467851.0092359
17,Back Left,0,quc,0.8464191506751575,1763467854.0219364,1763467854.0219364
-1,Front,0,16,0.9707029596310294,1763467854.6060908,1763467854.6060908
17,Back Right,0,(Ok),0.6367080807685852,1763467855.632702,1763467855.632702
-1,Back Left,0,quc,0.7008468991063928,1763467859.103651,1763467859.103651
-1,Front,0,ottle,0.9994177594737932,1763467859.6807404,1763467859.6807404
18,Back Right,0,JK),0.8434117347394844,1763467860.259426,1763467860.259426
-1,Back Left,0,tch,0.9998657914515785,1763467863.449707,1763467863.449707
-1,Front,0,018,0.5594860640800148,1763467863.8038867,1763467863.8038867
19,Top,0,3,0.5453459783376644,1763467864.1572137,1763467864.1572137
18,Top,0,8,0.6493739997093009,1763467864.2704244,1763467864.2704244
19,Back Right,0,JK),0.6131733806393315,1763467864.4453723,1763467864.4453723
-1,Back Left,0,ch,0.99996965440393,1763467867.2708397,1763467867.2708397
-1,Front,0,le 88,0.6486351031100559,1763467867.904402,1763467867.904402
20,Back Right,0,K),0.8652117502486828,1763467868.5048075,1763467868.5048075
-1,Back Left,0,ch,0.7660221722656452,1763467871.7669604,1763467871.7669604
-1,Front,0,tle 2C ID: 96,0.7894432084849168,1763467872.5375416,1763467872.5375416
21,Back Right,0,Ok),0.5646519218905468,1763467873.1930528,1763467873.1930528
22,Back Left,0,ch,0.969172144693145,1763467876.3213391,1763467876.3213391
21,Top,0,6,0.6682687230967623,1763467876.422631,1763467876.422631
-1,Front,0,21 99,0.9998881037848039,1763467876.8097584,1763467876.8097584
22,Back Right,0,Ok),0.5560852578260352,1763467877.5638103,1763467877.5638103
-1,Back Left,0,ch que,0.8026125149207111,1763467880.2335978,1763467880.2335978
23,Front,0,(Ok,0.8202565550714019,1763467880.8305943,1763467880.8305943
24,Top,0,0,0.8432175886527062,1763467881.2811105,1763467881.2811105
23,Back Right,0,13,0.9995944871096213,1763467882.2099915,1763467882.2099915
-1,Back Left,0,quc,0.9356026511879524,1763467882.5682044,1763467882.5682044
24,Front,0,qucu; Qk),0.6207203155154807,1763467884.0950413,1763467884.0950413
24,Back Right,0,K),0.9510656921094738,1763467884.179559,1763467884.179559
-1,Back Left,0,tch,0.9987253546714783,1763467886.3956347,1763467886.3956347
