bottle_id,pushed_by_ai,classification,timestamp,tarra,year
1,False,OK,1763907604.6084206,15.4,2039.0
1,False,OK,1763907604.8209949,15.4,2039.0
2,False,OK,1763907610.8637247,15.4,2055.0
2,False,OK,1763907610.9310086,15.4,2055.0
3,False,OK,1763907615.902805,?,?
3,False,OK,1763907616.111004,?,?
4,False,OK,1763907620.072682,?,2035.0
4,False,OK,1763907620.1672618,?,2035.0
5,False,OK,1763907624.070187,10.5,2035.0
5,True,NOK,1763907624.1630237,10.5,2035.0
6,False,OK,1763907628.6879926,10.8,2035.0
6,False,OK,1763907628.8495874,10.8,2035.0
7,True,NOK,1763907633.131169,?,?
7,False,OK,1763907633.272074,?,?
8,True,NOK,1763907637.3490026,?,?
8,False,OK,1763907637.383202,?,?
9,False,OK,1763907641.4759026,10.9,2033.0
9,False,OK,1763907641.6578062,10.9,2033.0
10,True,NOK,1763907645.9194317,?,2035.0
10,True,NOK,1763907645.979454,?,2035.0
11,True,NOK,1763907649.455194,?,?
11,True,NOK,1763907649.590232,?,?
12,False,OK,1763907653.219509,15.6,?
12,False,OK,1763907653.3134322,15.6,?
13,False,OK,1763907657.0272691,?,2039.0
13,False,OK,1763907657.1859505,?,2039.0
14,False,OK,1763907659.926019,?,?
14,False,OK,1763907660.098565,?,?
15,True,NOK,1763907663.8029428,?,?
15,True,NOK,1763907664.0163083,?,?
16,False,OK,1763907668.4735618,15.1,?
16,False,OK,1763907668.6524518,15.1,?
17,False,OK,1763907672.4187636,?,?
17,False,OK,1763907672.4561722,?,?
18,False,OK,1763907676.4642887,10.6,2031.0
18,False,OK,1763907676.6788287,10.6,2031.0
19,False,OK,1763907681.793965,10.4,2039.0
19,False,OK,1763907681.9316962,10.4,2039.0
20,False,OK,1763907689.0934942,10.1,?
20,False,OK,1763907689.5646222,10.1,?
21,False,OK,1763907697.931009,?,?
21,False,OK,1763907698.0788755,?,?
22,False,OK,1763907708.528769,?,?
22,False,OK,1763907708.6652937,?,?
23,False,OK,1763907715.980444,?,?
23,False,OK,1763907716.504565,?,?
24,False,OK,1763907724.75745,10.4,2033.0
24,False,OK,1763907724.8896377,10.4,2033.0
25,False,OK,1763907731.646799,15.8,2059.0
25,False,OK,1763907732.092647,15.8,2059.0
26,False,OK,1763907739.6387007,?,?
26,False,OK,1763907740.0459208,?,?
27,False,OK,1763907749.3916836,?,?
27,False,OK,1763907749.8882303,?,?
28,False,OK,1763907760.150931,10.7,2034.0
28,False,OK,1763907760.4677966,10.7,2034.0
29,False,OK,1763907772.1887903,?,?
29,False,OK,1763907772.675912,?,?
30,False,OK,1763907795.7820313,?,?
30,False,OK,1763907796.5129828,?,?
31,False,OK,1763907801.6924388,15.4,2031.0
31,False,OK,1763907801.765514,15.4,2031.0
32,False,OK,1763907809.650002,15.1,?
32,False,OK,1763907809.752768,15.1,?
33,False,OK,1763907819.8743677,?,?
33,False,OK,1763907820.5166852,?,?
34,False,OK,1763907831.3114293,?,?
34,False,OK,1763907831.4372032,?,?
35,False,OK,1763907839.739699,13.1,2033.0
35,False,OK,1763907840.249142,13.1,2033.0
36,False,OK,1763907848.8920832,10.8,?
36,False,OK,1763907849.0560794,10.8,?
37,False,OK,1763907859.1487317,10.2,2039.0
37,False,OK,1763907859.2756262,10.2,2039.0
38,False,OK,1763907869.2658656,?,?
38,False,OK,1763907869.4476774,?,?
39,False,OK,1763907877.9811969,10.9,?
39,False,OK,1763907878.2110603,10.9,?
40,False,OK,1763907893.449367,?,?
40,False,OK,1763907893.7228434,?,?
41,False,OK,1763907905.204858,10.5,?
41,False,OK,1763907905.338773,10.5,?
42,False,OK,1763907919.0129871,?,?
42,False,OK,1763907919.824623,?,?
43,False,OK,1763907935.1885111,?,?
43,False,OK,1763907935.3978796,?,?
44,False,OK,1763907949.914095,10.8,2032.0
44,False,OK,1763907950.0759072,10.8,2032.0
45,False,OK,1763907960.503796,11.9,?
45,False,OK,1763907960.6278038,11.9,?
46,True,NOK,1763907970.3407383,10.8,2034.0
46,True,NOK,1763907970.533546,10.8,2034.0
47,False,OK,1763907977.775304,15.6,2032.0
47,True,NOK,1763907977.9154074,15.6,2032.0
48,False,OK,1763907987.9591436,?,?
48,False,OK,1763907988.409948,?,?
49,False,OK,1763908000.2158642,10.5,2037.0
49,False,OK,1763908001.1244516,10.5,2037.0
50,False,OK,1763908018.0714068,10.5,2037.0
50,False,OK,1763908018.1931062,10.5,2037.0
51,False,OK,1763908027.9210112,?,?
51,False,OK,1763908028.1970177,?,?
52,False,OK,1763908036.142439,10.6,2037.0
52,False,OK,1763908036.3390095,10.6,2037.0
53,False,OK,1763908042.165519,?,2039.0
53,False,OK,1763908042.382959,?,2039.0
54,False,OK,1763908048.3556073,?,2015.0
54,False,OK,1763908048.3684857,?,2015.0
55,False,OK,1763908056.5152276,13.1,2027.0
55,False,OK,1763908056.6847646,13.1,2027.0
56,False,OK,1763908066.4492755,?,?
56,False,OK,1763908066.8972137,?,?
57,False,OK,1763908079.1546383,?,?
57,False,OK,1763908079.3133051,?,?
58,False,OK,1763908089.219524,?,?
58,False,OK,1763908089.945017,?,?
59,False,OK,1763908099.0678573,16.5,?
59,False,OK,1763908099.14075,16.5,?
60,True,NOK,1763908106.2076328,?,?
60,True,NOK,1763908106.2966435,?,?
61,False,OK,1763908112.85632,?,?
